tax_code,node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
3703060752,COMPANY::3703060752,0.1116222,0.13758473,0.021334803,0.0050760955,0.08896606,0.18281797,-0.13017294,-0.0031288485,-0.1688378,-0.31510356,-0.24516113,-0.18545745,-0.07018434,-0.012942293,-0.076001205,-0.022561159,-0.36933333,0.019946327,0.09214988,-0.2588148,-0.080588795,0.113398924,-0.093589514,0.1068021,-0.11004023,0.27285737,-0.24198774,0.24580611,0.060007785,0.2470659,-0.16565785,0.35600492
0317305804,COMPANY::0317305804,0.14768763,0.17624708,0.021582076,0.017288655,0.058145296,0.057139345,-0.09866928,0.05396887,-0.057875033,-0.19046931,-0.22340094,-0.088261925,0.051022246,0.017184332,0.03456333,-0.06083771,-0.27336073,-0.085251845,-0.1615126,-0.20162348,-0.24350457,0.17880648,-0.20598516,0.2834197,-0.30632347,0.2565991,-0.28306672,0.11088341,0.09124886,0.17265135,-0.21154258,0.35242957
0317303613,COMPANY::0317303613,0.119952016,0.13177358,0.044538468,0.03339253,0.02108163,0.042049635,-0.08538152,0.12238381,-0.049509622,-0.062238965,-0.043952346,-0.050155044,0.0485043,-0.007586382,0.031550404,-0.06820242,-0.30196092,-0.09397386,-0.13213556,-0.15974687,-0.23508921,0.19151779,-0.22383226,0.26314005,-0.34317252,0.22292167,-0.33328688,0.10512988,0.08789715,0.2045439,-0.20254631,0.43286914
0317304085,COMPANY::0317304085,0.15267631,0.19778204,0.031117557,0.028205946,0.060346335,0.06946246,-0.07744862,0.06171005,-0.07043733,-0.2149069,-0.22464119,-0.077134036,0.048652377,0.0038408912,0.034019273,-0.07155522,-0.24542525,-0.14502886,-0.111116394,-0.2293768,-0.26365358,0.15103944,-0.1942935,0.28119883,-0.24504328,0.26365694,-0.33263513,0.0015452211,0.06968369,0.229233,-0.2202323,0.31594968
3703060784,COMPANY::3703060784,0.091244444,0.06835872,0.040211346,0.04032241,0.03265259,0.066279136,-0.06966978,0.07138537,-0.09881111,-0.13864581,-0.113366,-0.031751957,-0.0065137967,-0.049834453,0.011798408,-0.06334656,-0.28882235,-0.087794654,-0.1510045,-0.19928141,-0.25451556,0.15664148,-0.19733095,0.34380198,-0.29788393,0.27354687,-0.26739314,0.15734525,0.13899967,0.14076383,-0.18596779,0.4303383
0317306043,COMPANY::0317306043,0.1296439,0.14215778,0.03803794,0.043418005,0.047695998,0.08347089,-0.07807774,0.06531308,-0.11210934,-0.20648493,-0.18965569,-0.0666468,0.021710949,-0.03596358,0.023666145,-0.073270515,-0.27752525,-0.1064478,-0.11606702,-0.19063845,-0.27460942,0.17837502,-0.18916734,0.3117955,-0.283426,0.24978897,-0.30953774,0.08516743,0.09551417,0.15197814,-0.20555209,0.37159094
0317305836,COMPANY::0317305836,0.13606769,0.15806824,0.027248163,0.019798482,0.058440886,0.06643592,-0.07760933,0.040851317,-0.07021731,-0.1821377,-0.19459188,-0.087840386,0.046213873,0.008625362,0.02881389,-0.051635098,-0.28822333,-0.10099501,-0.16753328,-0.23821995,-0.25477108,0.16086742,-0.21223095,0.2804159,-0.29260242,0.24068388,-0.30684823,0.10201772,0.07518391,0.17935304,-0.1791737,0.37399074
5801485147,COMPANY::5801485147,0.05574427,0.04815172,-0.02679258,0.006386987,-0.0006857154,0.027775407,-0.054062936,0.09213467,-0.043581866,-0.042555854,-0.11989419,-0.062300116,0.053193472,-0.04240588,-0.04649319,-0.04687633,-0.26654208,-0.11189429,-0.1558977,-0.18490314,-0.25118038,0.20258823,-0.25091684,0.32637253,-0.3536277,0.2584944,-0.27829877,0.14090905,0.11438373,0.13515389,-0.22489329,0.40485042
2500683407,COMPANY::2500683407,0.10888697,0.22954614,-0.015989758,-0.0033064152,0.1621703,0.24509895,-0.26516923,-0.121170014,-0.11007179,-0.17193191,-0.36426243,-0.34275293,-0.09562867,0.0120597975,-0.03388764,-0.056552395,-0.0518939,0.15468127,0.2485033,-0.0740226,0.1764704,-0.21410164,0.0062687686,-0.24923189,0.2625665,0.03112511,0.15246367,0.1268374,-0.08263631,0.25398985,0.06702958,-0.20067596
2500683414,COMPANY::2500683414,0.1571707,0.23817144,0.03588288,0.024296792,0.11688915,0.07325793,-0.20996758,0.05141187,-0.02903902,-0.08726521,-0.32421276,-0.15058455,0.023851322,-0.04296866,0.0905741,-0.12264733,-0.31734946,-0.12260778,-0.1022509,-0.16987011,-0.2276414,0.10507587,-0.061776407,0.28119653,-0.29483545,0.17193562,-0.23303983,0.14151973,0.102106415,0.14443354,-0.14068732,0.38251325
